16.05.2020,9’120.3600
15.05.2020,9’024.8200
14.05.2020,9’521.7100
13.05.2020,9’050.6000
12.05.2020,8’545.6600
11.05.2020,8’391.3100
10.05.2020,8’512.5300
09.05.2020,9’297.3800
08.05.2020,9’558.1500
07.05.2020,9’720.6200
06.05.2020,8’921.3800
05.05.2020,8’781.9600
04.05.2020,8’580.2600
03.05.2020,8’577.6200
02.05.2020,8’659.2500
01.05.2020,8’503.3100
30.04.2020,8’344.4300
29.04.2020,8’548.2800
28.04.2020,7’571.2700
27.04.2020,7’601.4800
26.04.2020,7’500.5000
25.04.2020,7’349.1000
24.04.2020,7’308.8700
23.04.2020,7’289.0200
22.04.2020,6’929.8600
21.04.2020,6’655.2000
20.04.2020,6’635.2400
19.04.2020,6’904.8000
18.04.2020,7’023.3700
17.04.2020,6’812.3800
16.04.2020,6’887.0900
15.04.2020,6’407.3500
14.04.2020,6’610.7800
13.04.2020,6’642.0400
12.04.2020,6’690.9400
11.04.2020,6’663.2000
10.04.2020,6’641.4300
09.04.2020,7’059.3900
08.04.2020,7’159.5200
07.04.2020,6’983.2400
06.04.2020,7’183.0700
05.04.2020,6’630.4200
04.04.2020,6’721.2100
03.04.2020,6’585.6400
02.04.2020,6’637.7600
01.04.2020,6’097.1500
31.03.2020,6’192.0900
30.03.2020,6’149.4900
29.03.2020,5’613.1000
28.03.2020,5’965.5400
27.03.2020,6’083.6000
26.03.2020,6’510.0100
25.03.2020,6’562.5300
24.03.2020,6’636.4300
23.03.2020,6’376.9900
22.03.2020,5’765.6200
21.03.2020,6’127.3800
20.03.2020,6’166.4100
19.03.2020,6’129.1300
18.03.2020,5’225.8200
17.03.2020,5’170.4800
16.03.2020,4’771.2700
15.03.2020,5’092.4900
14.03.2020,4’940.6200
13.03.2020,5’322.5000
12.03.2020,4’547.8900
11.03.2020,7’468.9600
10.03.2020,7’405.9700
09.03.2020,7’358.7900
08.03.2020,7’474.0900
07.03.2020,8’353.2500
06.03.2020,8’579.1300
05.03.2020,8’582.9100
04.03.2020,8’388.7400
03.03.2020,8’382.1800
02.03.2020,8’558.0600
01.03.2020,8’225.3300
29.02.2020,8’253.6900
28.02.2020,8’406.0900
27.02.2020,8’534.9900
26.02.2020,8’593.0000
25.02.2020,9’100.2300
24.02.2020,9’466.5500
23.02.2020,9’786.4900
22.02.2020,9’469.1800
21.02.2020,9’491.6800
20.02.2020,9’462.6300
19.02.2020,9’455.8500
18.02.2020,10’007.8400
17.02.2020,9’520.5400
16.02.2020,9’762.4500
15.02.2020,9’735.4100
14.02.2020,10’175.7000
13.02.2020,10’028.0400
12.02.2020,10’121.3400
11.02.2020,10’019.3300
10.02.2020,9’634.3000
09.02.2020,9’926.1300
08.02.2020,9’678.1600
07.02.2020,9’588.3100
06.02.2020,9’508.2100
05.02.2020,9’355.1000
04.02.2020,8’890.8600
03.02.2020,8’981.2400
02.02.2020,8’994.1400
01.02.2020,9’043.5300
31.01.2020,9’047.0500
30.01.2020,9’212.9400
29.01.2020,9’037.7200
28.01.2020,9’127.3700
27.01.2020,8’624.7400
26.01.2020,8’346.0400
25.01.2020,8’107.9000
24.01.2020,8’194.9700
23.01.2020,8’141.1600
22.01.2020,8’387.4500
21.01.2020,8’454.8800
20.01.2020,8’365.7700
19.01.2020,8’430.1500
18.01.2020,8’619.7100
17.01.2020,8’611.9200
16.01.2020,8’416.6100
15.01.2020,8’495.0300
14.01.2020,8’538.8200
13.01.2020,7’875.9800
12.01.2020,7’961.1500
11.01.2020,7’808.4700
10.01.2020,7’964.3800
09.01.2020,7’613.4000
08.01.2020,7’825.9400
07.01.2020,7’929.2000
06.01.2020,7’519.6100
05.01.2020,7’148.8000
04.01.2020,7’156.7800
03.01.2020,7’133.3200
02.01.2020,6’766.8600
01.01.2020,6’965.5300
31.12.2019,6’959.0900
30.12.2019,7’013.9800
29.12.2019,7’215.9900
28.12.2019,7’139.2200
27.12.2019,7’078.5800
26.12.2019,7’077.6600
25.12.2019,7’058.8400
24.12.2019,7’125.2500
23.12.2019,7’199.4100
22.12.2019,7’390.2900
21.12.2019,7’042.7600
20.12.2019,7’082.5100
19.12.2019,7’008.9400
18.12.2019,7’150.6900
17.12.2019,6’504.1200
16.12.2019,6’791.1300
15.12.2019,7’011.3200
14.12.2019,6’982.7200
13.12.2019,7’147.7300
12.12.2019,7’098.5900
11.12.2019,7’093.8100
10.12.2019,7’125.6400
09.12.2019,7’264.5300
08.12.2019,7’470.0500
07.12.2019,7’448.6600
06.12.2019,7’483.9900
05.12.2019,7’313.7700
04.12.2019,7’125.6500
03.12.2019,7’218.0900
02.12.2019,7’265.1900
01.12.2019,7’425.4500
30.11.2019,7’578.1300
29.11.2019,7’771.6400
28.11.2019,7’433.8300
27.11.2019,7’530.1500
26.11.2019,7’160.9300
25.11.2019,7’121.1400
24.11.2019,6’925.3800
23.11.2019,7’320.8700
22.11.2019,7’281.2800
21.11.2019,7’578.4200
20.11.2019,8’018.6200
19.11.2019,8’062.5800
18.11.2019,8’107.6500
17.11.2019,8’435.5300
16.11.2019,8’410.7000
15.11.2019,8’387.7500
14.11.2019,8’545.3800
13.11.2019,8’690.1800
12.11.2019,8’708.1900
11.11.2019,8’672.3300
10.11.2019,9’027.3500
09.11.2019,8’794.0000
08.11.2019,8’757.7300
07.11.2019,9’168.9100
06.11.2019,9’284.3700
05.11.2019,9’247.7400
04.11.2019,9’310.1400
03.11.2019,9’088.3900
02.11.2019,9’197.9800
01.11.2019,9’137.3000
31.10.2019,9’042.3600
30.10.2019,9’075.9300
29.10.2019,9’379.6400
28.10.2019,9’175.2500
27.10.2019,9’493.0500
26.10.2019,9’205.6700
25.10.2019,8’621.2300
24.10.2019,7’388.9300
23.10.2019,7’402.4600
22.10.2019,7’959.6900
21.10.2019,8’118.8600
20.10.2019,8’116.5400
19.10.2019,7’847.3200
18.10.2019,7’843.1200
17.10.2019,7’995.0100
16.10.2019,7’969.5800
15.10.2019,8’167.4400
14.10.2019,8’344.7200
13.10.2019,8’288.4200
12.10.2019,8’314.3100
11.10.2019,8’258.2500
10.10.2019,8’563.7500
09.10.2019,8’530.0900
08.10.2019,8’144.4700
07.10.2019,8’174.0100
06.10.2019,7’842.3300
05.10.2019,8’132.7100
04.10.2019,8’137.5600
03.10.2019,8’239.5400
02.10.2019,8’361.8900
01.10.2019,8’277.8600
30.09.2019,8’286.9800
29.09.2019,8’000.2300
28.09.2019,8’151.8500
27.09.2019,8’142.0800
26.09.2019,8’015.2200
25.09.2019,8’372.8000
24.09.2019,8’431.7200
23.09.2019,9’589.7200
22.09.2019,9’962.2100
21.09.2019,9’911.5300
20.09.2019,10’086.0800
19.09.2019,10’198.5200
18.09.2019,10’137.8300
17.09.2019,10’130.9400
16.09.2019,10’199.5600
15.09.2019,10’200.2400
14.09.2019,10’272.3900
13.09.2019,10’268.0100
12.09.2019,10’329.3800
11.09.2019,10’104.4100
10.09.2019,10’025.3300
09.09.2019,10’239.2200
08.09.2019,10’294.4400
07.09.2019,10’383.8200
06.09.2019,10’207.5000
05.09.2019,10’439.2100
04.09.2019,10’381.7000
03.09.2019,10’481.3900
02.09.2019,10’275.5700
01.09.2019,9’670.6500
31.08.2019,9’542.2800
30.08.2019,9’504.3400
29.08.2019,9’371.6300
28.08.2019,9’555.7400
27.08.2019,9’996.1800
26.08.2019,10’154.2600
25.08.2019,9’877.9900
24.08.2019,9’907.2600
23.08.2019,10’164.8400
22.08.2019,9’956.7300
21.08.2019,9’951.1500
20.08.2019,10’521.1000
19.08.2019,10’722.0100
18.08.2019,10’127.5900
17.08.2019,10’009.7200
16.08.2019,10’137.0500
15.08.2019,10’068.6300
